2025-05-12 16:32:31,275 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:32:33,414 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:32:35,578 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:32:37,674 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:32:40,770 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:32:42,903 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:32:45,145 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:32:47,220 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:32:49,270 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:32:51,333 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:32:53,378 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:32:55,466 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:32:57,543 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:32:59,721 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:33:01,776 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:33:03,833 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:33:05,913 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:33:07,975 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:33:10,029 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:33:12,077 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:33:14,355 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:33:16,490 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:33:18,564 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:33:20,738 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:33:22,780 - Status check - active: True, should_run: False, app: not running
